Stop,Line,Arrival,Arrival_predicted,Departure
Basel SBB,IR36,2022-05-30T07:48:00,,
Basel SBB,IR36,,,2022-05-30T06:11:00
Basel SBB,IR36,2022-05-30T08:50:00,2022-05-30T08:55:22,
Basel SBB,IR36,,,2022-05-30T07:11:00
Basel SBB,IR36,2022-05-30T11:48:00,,
Basel SBB,IR36,,,
Basel SBB,IR36,2022-05-30T19:48:00,,
Basel SBB,IR36,2022-05-30T21:48:00,,
Basel SBB,IR36,,,2022-05-30T20:11:00
Basel SBB,IR36,2022-05-31T00:48:00,,
Basel SBB,IR36,,,2022-05-30T23:11:00
Basel SBB,ICE,,,2022-05-30T07:13:00
Basel SBB,ICE,,,2022-05-30T19:13:00
Basel SBB,ICE,,,2022-05-30T08:02:00
Bern,EC,2022-05-30T12:52:00,2022-05-30T12:53:01,2022-05-30T13:04:00
Basel SBB,EC,2022-05-30T11:35:00,2022-05-30T11:34:10,
Basel SBB,EC,,,2022-05-30T06:25:00
Bern,EC,2022-05-30T07:26:00,2022-05-30T07:28:40,2022-05-30T07:34:00
Bern,EC,2022-05-30T11:26:00,2022-05-30T11:25:55,2022-05-30T11:34:00
Bern,EC,,2022-05-30T13:25:21,2022-05-30T13:34:00
Basel SBB,IC61,2022-05-30T08:35:00,2022-05-30T08:40:37,
Bern,IC61,2022-05-30T10:26:00,2022-05-30T10:26:41,2022-05-30T10:34:00
Bern,IC61,2022-05-30T11:24:00,2022-05-30T11:24:49,2022-05-30T11:36:00
Basel SBB,IC61,,,2022-05-30T13:25:00
Bern,IC6,2022-05-30T16:24:00,2022-05-30T16:26:07,2022-05-30T16:36:00
Bern,IC61,2022-05-30T16:26:00,2022-05-30T16:25:57,2022-05-30T16:34:00
Basel SBB,IC61,,,2022-05-30T18:25:00
Basel SBB,IC6,,,2022-05-30T20:25:00
Bern,IC6,2022-05-30T22:26:00,2022-05-30T22:25:19,
Bern,IC61,2022-05-30T23:26:00,2022-05-30T23:29:51,2022-05-30T23:39:00
Basel SBB,TGV,2022-05-30T08:30:00,2022-05-30T08:37:00,
Basel SBB,TGV,,,2022-05-30T15:30:00
Basel SBB,TGV,2022-05-30T18:30:00,2022-05-30T18:31:32,
Bern,ICE,,2022-05-30T10:53:59,2022-05-30T11:04:00
Basel SBB,ICE,2022-05-30T12:02:00,2022-05-30T12:02:03,
Basel SBB,IC6,2022-05-30T23:38:00,2022-05-30T23:36:37,
Basel SBB,IC3,,,2022-05-30T06:30:00
Basel SBB,IC61,,,2022-05-30T05:22:00
Basel SBB,IC3,,,2022-05-30T17:30:00
Basel SBB,IC3,2022-05-30T21:30:00,2022-05-30T21:30:13,
Bern,IC61,2022-05-30T11:24:00,,2022-05-30T11:36:00
Bern,IC6,2022-05-30T12:24:00,,2022-05-30T12:36:00
Basel SBB,IC21,,2022-05-30T23:02:02,
Basel SBB,IC21,2022-05-31T01:02:00,2022-05-31T01:12:25,
Bern,IC61,,,2022-05-30T15:36:00
Bern,IC6,2022-05-30T15:26:00,,2022-05-30T15:34:00
Basel SBB,IC3,,,2022-05-30T10:02:00
Basel SBB,IC61,2022-05-30T18:32:00,,
Bern,IC6,2022-05-30T20:24:00,,2022-05-30T20:36:00
Basel SBB,IC6,,,2022-05-30T19:28:00
Basel SBB,ICE,2022-05-30T18:47:00,2022-05-30T19:07:25,
Bern,IC6,,,2022-05-30T22:34:00
Basel SBB,IC61,2022-05-30T07:02:00,2022-05-30T07:05:31,
Basel SBB,IC61,,,2022-05-30T05:55:00
Bern,IC61,2022-05-30T07:56:00,2022-05-30T07:55:46,
Basel SBB,IC6,2022-05-31T00:37:00,,
Bern,IC61,,,2022-05-30T08:04:00
Basel SBB,IC61,,,2022-05-30T08:55:00
Bern,IC61,2022-05-30T09:52:00,2022-05-30T09:54:17,2022-05-30T10:04:00
Basel SBB,IC61,2022-05-30T11:02:00,2022-05-30T11:04:11,
Basel SBB,IC61,,,2022-05-30T12:55:00
Basel SBB,IC61,,,2022-05-30T14:55:00
Bern,IC61,2022-05-30T16:56:00,2022-05-30T16:56:11,2022-05-30T17:04:00
Bern,IC61,2022-05-30T16:52:00,2022-05-30T16:53:27,2022-05-30T17:04:00
Basel SBB,IC61,,,2022-05-30T18:55:00
Basel SBB,IC61,2022-05-30T21:02:00,2022-05-30T21:04:03,
Bern,IC61,2022-05-30T22:56:00,2022-05-30T22:58:22,2022-05-30T23:08:00
Basel SBB,IC3,2022-05-30T21:53:00,,
Bern,IC,2022-05-30T07:50:00,2022-05-30T07:49:57,
Basel SBB,S1,,,2022-05-30T11:19:00
Basel SBB,S1,,,2022-05-30T12:19:00
Basel SBB,S1,,,2022-05-30T14:19:00
Basel SBB,S1,,,2022-05-30T21:19:00
Bern,IC,,,2022-05-30T17:10:00
Lausanne,IC5,2022-05-30T09:45:00,2022-05-30T09:45:11,
Lausanne,IC5,2022-05-30T14:45:00,2022-05-30T14:49:21,
Lausanne,IC5,,,2022-05-30T11:15:00
Basel SBB,EC,,,2022-05-30T15:03:00
Lausanne,IC5,,,2022-05-30T18:15:00
Lausanne,IC5,,,2022-05-30T21:15:00
Lausanne,IR,2022-05-30T07:22:00,2022-05-30T07:20:26,
Basel SBB,IC51,2022-05-30T06:53:00,2022-05-30T06:56:46,
Basel SBB,IC51,2022-05-30T07:53:00,2022-05-30T07:55:46,
Basel SBB,IC51,2022-05-30T12:53:00,2022-05-30T12:54:36,
Basel SBB,IC51,,,2022-05-30T13:03:00
Basel SBB,IC51,2022-05-30T17:53:00,2022-05-30T17:55:12,
Basel SBB,IC51,,,2022-05-30T20:03:00
Basel SBB,IC51,2022-05-30T21:53:00,2022-05-30T21:53:59,
Basel SBB,IC51,,,2022-05-30T22:03:00
Lausanne,IR,2022-05-30T05:37:00,2022-05-30T05:39:36,2022-05-30T05:48:00
Basel SBB,S,2022-05-30T07:20:00,,
Basel SBB,S,,,2022-05-30T05:45:00
Lausanne,IR90,2022-05-30T09:39:00,2022-05-30T09:38:57,2022-05-30T09:48:00
Basel SBB,S1,2022-05-30T05:41:00,2022-05-30T05:40:03,
Basel SBB,S1,2022-05-30T06:11:00,2022-05-30T06:10:46,
Basel SBB,S1,2022-05-30T07:11:00,2022-05-30T07:11:02,
Basel SBB,S1,,,2022-05-30T10:20:00
Lausanne,IR90,2022-05-30T12:39:00,2022-05-30T12:38:52,2022-05-30T12:48:00
Basel SBB,S1,2022-05-30T23:41:00,2022-05-30T23:38:21,
Lausanne,IR90,2022-05-30T12:12:00,2022-05-30T12:13:11,2022-05-30T12:21:00
Lausanne,IR90,2022-05-30T13:12:00,2022-05-30T13:12:02,2022-05-30T13:21:00
Basel SBB,S1,,,2022-05-30T08:50:00
Basel SBB,S1,2022-05-30T10:11:00,2022-05-30T10:09:37,
Basel SBB,S1,2022-05-30T11:11:00,2022-05-30T11:11:17,
Basel SBB,S1,2022-05-30T14:11:00,2022-05-30T14:10:28,
Basel SBB,S1,2022-05-30T15:11:00,2022-05-30T15:11:42,
Basel SBB,S1,,,2022-05-30T15:50:00
Lausanne,IR90,2022-05-30T16:12:00,2022-05-30T16:12:14,2022-05-30T16:21:00
Basel SBB,S1,2022-05-30T19:11:00,2022-05-30T19:10:39,
Basel SBB,S1,,,2022-05-30T18:50:00
Basel SBB,S1,,,2022-05-30T20:50:00
Basel SBB,S1,2022-05-30T22:11:00,2022-05-30T22:09:07,
Basel SBB,S1,2022-05-31T00:11:00,2022-05-31T00:10:24,
Basel SBB,S3,,,2022-05-30T04:57:00
Basel SBB,S3,2022-05-30T07:23:00,2022-05-30T07:24:18,2022-05-30T07:31:00
Basel SBB,S3,2022-05-30T11:56:00,2022-05-30T11:55:32,2022-05-30T12:06:00
Basel SBB,S3,2022-05-30T12:56:00,2022-05-30T12:56:19,2022-05-30T13:06:00
Basel SBB,S3,2022-05-30T15:23:00,2022-05-30T15:25:07,2022-05-30T15:31:00
Basel SBB,S3,2022-05-30T15:56:00,2022-05-30T15:55:28,2022-05-30T16:06:00
Basel SBB,S3,2022-05-30T18:27:00,2022-05-30T18:29:19,2022-05-30T18:37:00
Basel SBB,S3,2022-05-30T18:23:00,2022-05-30T18:24:34,2022-05-30T18:31:00
Basel SBB,S3,2022-05-30T18:56:00,2022-05-30T18:57:30,2022-05-30T19:06:00
Basel SBB,S3,2022-05-30T19:50:00,2022-05-30T19:51:35,2022-05-30T20:01:00
Basel SBB,S3,2022-05-30T20:27:00,2022-05-30T20:25:32,2022-05-30T20:37:00
Basel SBB,S3,2022-05-30T21:27:00,2022-05-30T21:27:21,2022-05-30T21:37:00
Basel SBB,S3,2022-05-30T22:27:00,2022-05-30T22:26:33,2022-05-30T22:37:00
Basel SBB,S3,2022-05-30T23:23:00,2022-05-30T23:22:43,2022-05-30T23:31:00
Basel SBB,S3,2022-05-30T23:56:00,,2022-05-31T00:06:00
Basel SBB,S3,2022-05-30T23:50:00,,2022-05-31T00:01:00
Lausanne,IR,2022-05-30T06:10:00,2022-05-30T06:08:34,2022-05-30T06:13:00
Lausanne,IR90,2022-05-30T10:47:00,2022-05-30T10:48:04,2022-05-30T10:50:00
Lausanne,IR90,2022-05-30T14:47:00,2022-05-30T14:47:22,2022-05-30T14:50:00
Lausanne,IR90,2022-05-30T18:10:00,2022-05-30T18:10:26,2022-05-30T18:13:00
Lausanne,IR90,2022-05-30T21:10:00,2022-05-30T21:10:15,2022-05-30T21:13:00
Lausanne,IR90,2022-05-30T20:47:00,2022-05-30T20:47:45,2022-05-30T20:50:00
Lausanne,RE,,,2022-05-30T05:21:00
Lausanne,IR,2022-05-30T23:41:00,2022-05-30T23:45:50,2022-05-30T23:44:00
Lausanne,RE,2022-05-30T08:19:00,2022-05-30T08:18:04,2022-05-30T08:21:00
Lausanne,RE,2022-05-30T08:38:00,2022-05-30T08:38:56,2022-05-30T08:41:00
Lausanne,RE,2022-05-30T11:38:00,2022-05-30T11:38:19,2022-05-30T11:41:00
Lausanne,RE,2022-05-30T12:38:00,2022-05-30T12:37:05,2022-05-30T12:41:00
Lausanne,S2,2022-05-30T09:59:00,2022-05-30T09:59:07,2022-05-30T10:01:00
Lausanne,S2,2022-05-30T11:59:00,2022-05-30T11:58:45,2022-05-30T12:01:00
Lausanne,S2,2022-05-30T13:59:00,2022-05-30T13:58:45,2022-05-30T14:01:00
Lausanne,S2,2022-05-30T22:59:00,2022-05-30T22:58:10,
Lausanne,S3,,,2022-05-30T06:26:00
Lausanne,S3,2022-05-30T09:32:00,2022-05-30T09:32:34,
Lausanne,S3,2022-05-30T10:32:00,2022-05-30T10:31:15,
Lausanne,S3,,,2022-05-30T10:26:00
Lausanne,S3,2022-05-30T13:32:00,2022-05-30T13:32:08,
Lausanne,S3,2022-05-30T14:32:00,2022-05-30T14:31:28,
Lausanne,S3,,,2022-05-30T20:26:00
Lausanne,S4,2022-05-30T07:02:00,2022-05-30T06:59:44,2022-05-30T07:04:00
Lausanne,S4,2022-05-30T08:55:00,2022-05-30T09:00:36,2022-05-30T08:58:00
Lausanne,S4,2022-05-30T10:55:00,2022-05-30T10:55:06,2022-05-30T10:58:00
Lausanne,S4,2022-05-30T11:55:00,2022-05-30T11:56:14,2022-05-30T11:58:00
Lausanne,S4,2022-05-30T12:55:00,2022-05-30T12:55:47,2022-05-30T12:58:00
Lausanne,S4,2022-05-30T15:55:00,2022-05-30T15:58:52,2022-05-30T15:58:00
Lausanne,S4,2022-05-30T19:55:00,2022-05-30T19:54:36,2022-05-30T19:58:00
Lausanne,S5,2022-05-30T05:34:00,2022-05-30T05:36:38,
Lausanne,S5,2022-05-30T10:28:00,2022-05-30T10:26:23,2022-05-30T10:30:00
Lausanne,S5,2022-05-30T13:28:00,2022-05-30T13:27:56,2022-05-30T13:30:00
Lausanne,S5,2022-05-30T16:28:00,2022-05-30T16:27:15,2022-05-30T16:30:00
Lausanne,S5,2022-05-30T19:28:00,2022-05-30T19:28:12,2022-05-30T19:30:00
Lausanne,S5,2022-05-30T21:28:00,2022-05-30T21:27:23,2022-05-30T21:30:00
Lausanne,S5,2022-05-30T22:28:00,2022-05-30T22:27:15,2022-05-30T22:30:00
Basel SBB,IR27,,,2022-05-30T06:16:00
Lausanne,S5,2022-05-30T23:28:00,2022-05-30T23:29:03,2022-05-30T23:30:00
Lausanne,S5,2022-05-31T00:22:00,2022-05-31T00:24:42,
Lausanne,S6,2022-05-30T07:27:00,2022-05-30T07:28:00,
Basel SBB,IR27,,,2022-05-30T09:16:00
Lausanne,S6,,,2022-05-30T16:33:00
Lausanne,S6,,,2022-05-30T18:33:00
Lausanne,S6,2022-05-30T19:27:00,2022-05-30T19:26:37,
Lausanne,S6,,,2022-05-30T19:33:00
Lausanne,S6,2022-05-30T22:27:00,2022-05-30T22:26:30,
Lausanne,S6,2022-05-30T23:27:00,2022-05-30T23:25:49,
Lausanne,S6,2022-05-31T00:30:00,2022-05-31T00:29:52,
Basel SBB,IR27,,,2022-05-30T12:16:00
Basel SBB,IR27,2022-05-30T17:45:00,,
Basel SBB,IR27,,,2022-05-30T16:16:00
Basel SBB,IR27,2022-05-30T19:45:00,,
Basel SBB,IR27,,,2022-05-30T20:16:00
Lausanne,S9,,,2022-05-30T05:13:00
Lausanne,S9,,,2022-05-30T07:13:00
Lausanne,S9,,,2022-05-30T09:13:00
Lausanne,S9,2022-05-30T10:48:00,2022-05-30T10:47:39,
Lausanne,S9,,,2022-05-30T11:13:00
Lausanne,S9,2022-05-30T12:48:00,2022-05-30T12:48:31,
Lausanne,S9,,,2022-05-30T15:13:00
Lausanne,S9,,,2022-05-30T18:13:00
Lausanne,S9,2022-05-30T18:48:00,2022-05-30T18:47:30,
Lausanne,S9,,,2022-05-30T21:13:00
Lausanne,S9,2022-05-31T00:48:00,2022-05-31T00:47:35,
Bern,IR,,,2022-05-31T00:08:00
Bern,IR15,,,2022-05-30T05:04:00
Bern,IR15,2022-05-30T06:56:00,2022-05-30T06:55:38,2022-05-30T07:00:00
Bern,IR15,,2022-05-30T08:59:22,2022-05-30T09:00:00
Lausanne,IR15,2022-05-30T12:16:00,2022-05-30T12:15:27,2022-05-30T12:19:00
Lausanne,IR15,2022-05-30T14:16:00,2022-05-30T14:16:06,2022-05-30T14:19:00
Lausanne,IR15,2022-05-30T15:16:00,2022-05-30T15:16:54,2022-05-30T15:19:00
Lausanne,IR15,2022-05-30T13:41:00,2022-05-30T13:39:36,2022-05-30T13:44:00
Lausanne,IR15,,2022-05-30T14:40:25,2022-05-30T14:44:00
Bern,IR15,2022-05-30T20:00:00,2022-05-30T20:02:44,2022-05-30T20:04:00
Lausanne,IR15,2022-05-30T22:16:00,2022-05-30T22:16:34,
Lausanne,IR15,,,2022-05-30T22:44:00
Basel SBB,IC,2022-05-30T22:07:00,2022-05-30T22:06:06,
Basel SBB,ICE,,,2022-05-30T04:03:00
Basel SBB,IR36,2022-05-31T00:50:00,2022-05-31T00:54:31,
Basel SBB,IC6,2022-05-30T13:35:00,2022-05-30T13:41:52,
Basel SBB,S,2022-05-31T00:07:00,2022-05-31T00:07:01,
Basel SBB,IR27,,,2022-05-30T06:14:00
Basel SBB,IR27,2022-05-30T10:47:00,2022-05-30T10:45:45,
Basel SBB,IR27,,,2022-05-30T09:14:00
Basel SBB,IR27,2022-05-30T14:47:00,2022-05-30T14:45:54,
Basel SBB,IR27,2022-05-30T15:47:00,2022-05-30T15:46:46,
Basel SBB,IR27,,,2022-05-30T14:14:00
Basel SBB,IR27,2022-05-30T16:47:00,2022-05-30T16:50:08,
Basel SBB,IR27,,,2022-05-30T15:14:00
Basel SBB,IR27,2022-05-30T17:47:00,2022-05-30T17:46:43,
Basel SBB,IR27,2022-05-30T19:47:00,2022-05-30T19:46:24,
Basel SBB,IR27,2022-05-30T13:47:00,2022-05-30T13:49:04,
Basel SBB,IR27,,,2022-05-30T17:14:00
Basel SBB,IR27,,,2022-05-30T10:14:00
Basel SBB,IR27,,,2022-05-30T19:14:00
Bern,EXT,2022-05-31T00:56:00,2022-05-31T01:02:42,2022-05-31T01:00:00
Bern,ICE,,,2022-05-30T13:04:00
Basel SBB,S3,2022-05-30T23:55:00,2022-05-30T23:54:27,2022-05-31T00:01:00
Basel SBB,IR37,2022-05-30T06:18:00,2022-05-30T06:16:01,
Basel SBB,IR36,2022-05-30T10:49:00,2022-05-30T10:48:19,
Basel SBB,IR36,2022-05-30T17:49:00,2022-05-30T17:49:19,
Basel SBB,IR36,2022-05-30T18:49:00,2022-05-30T18:49:13,
Basel SBB,IR36,2022-05-30T20:49:00,2022-05-30T20:49:32,
Basel SBB,IR36,2022-05-30T21:49:00,2022-05-30T21:48:43,
Basel SBB,IR37,2022-05-30T13:18:00,2022-05-30T13:17:31,
Basel SBB,IR37,,,2022-05-30T13:42:00
Basel SBB,IR37,,,2022-05-30T17:42:00
Basel SBB,IR37,,,2022-05-30T18:42:00
Lausanne,RE,,,2022-05-30T16:55:00
Lausanne,EC,2022-05-30T20:42:00,2022-05-30T20:43:28,2022-05-30T20:45:00
Basel SBB,ICE,,,2022-05-30T10:13:00
Basel SBB,ICE,2022-05-30T17:47:00,2022-05-30T17:50:04,2022-05-30T17:56:00
Basel SBB,ICE,,,2022-05-30T08:13:00
Bern,EC,2022-05-30T07:26:00,,2022-05-30T07:34:00
Basel SBB,EC,2022-05-30T15:32:00,,2022-05-30T15:38:00
Basel SBB,RE,,,2022-05-30T07:37:00
Basel SBB,RB,,2022-05-30T08:02:51,
Basel SBB,IC3,2022-05-30T09:28:00,,
Basel SBB,IC3,,,2022-05-30T07:33:00
Basel SBB,IC3,,,2022-05-30T08:33:00
Basel SBB,IC3,2022-05-30T15:28:00,,
Basel SBB,IC3,2022-05-30T17:28:00,,
Basel SBB,IC3,,,2022-05-30T18:33:00
Basel SBB,IC3,,,2022-05-30T20:33:00
Basel SBB,IC21,,,2022-05-30T05:03:00
Basel SBB,IC21,,,2022-05-30T09:03:00
Basel SBB,IC21,2022-05-30T10:56:00,,
Basel SBB,IC21,2022-05-30T16:56:00,,
Basel SBB,IC21,2022-05-30T23:00:00,,
Bern,EC,2022-05-30T14:56:00,,2022-05-30T15:04:00
Bern,IC1,2022-05-30T06:26:00,2022-05-30T06:26:09,2022-05-30T06:31:00
Bern,IC1,2022-05-30T07:28:00,2022-05-30T07:31:17,2022-05-30T07:34:00
Lausanne,IC1,2022-05-30T08:40:00,2022-05-30T08:40:39,2022-05-30T08:43:00
Bern,IC1,2022-05-30T08:28:00,2022-05-30T08:28:47,2022-05-30T08:34:00
Lausanne,IC1,2022-05-30T15:40:00,2022-05-30T15:40:13,2022-05-30T15:43:00
Bern,IC1,2022-05-30T16:28:00,2022-05-30T16:28:26,2022-05-30T16:34:00
Bern,IC1,2022-05-30T16:26:00,2022-05-30T16:31:15,2022-05-30T16:31:00
Bern,IC1,2022-05-30T17:28:00,2022-05-30T17:32:03,2022-05-30T17:34:00
Lausanne,IC1,2022-05-30T19:40:00,2022-05-30T19:40:27,2022-05-30T19:43:00
Bern,IC1,2022-05-30T20:28:00,2022-05-30T20:28:11,2022-05-30T20:34:00
Bern,IC1,2022-05-30T20:26:00,2022-05-30T20:29:14,2022-05-30T20:31:00
Lausanne,IC1,2022-05-30T22:40:00,2022-05-30T22:40:27,
Basel SBB,IC3,,,2022-05-30T12:06:00
Basel SBB,EC,2022-05-30T11:53:00,,2022-05-30T12:20:00
Bern,IC8,,,2022-05-30T06:07:00
Bern,IC8,2022-05-30T08:58:00,2022-05-30T08:59:20,2022-05-30T09:07:00
Bern,IC8,2022-05-30T09:58:00,2022-05-30T09:59:57,2022-05-30T10:07:00
Bern,IC8,2022-05-30T11:58:00,2022-05-30T11:59:34,2022-05-30T12:07:00
Bern,IC8,2022-05-30T16:54:00,2022-05-30T16:56:31,2022-05-30T17:02:00
Bern,IC8,2022-05-31T01:02:00,2022-05-31T01:09:34,
Lausanne,RE,2022-05-30T13:38:00,2022-05-30T13:37:12,2022-05-30T13:41:00
Lausanne,RE,2022-05-30T15:38:00,2022-05-30T15:41:32,2022-05-30T15:41:00
Lausanne,RE,,,2022-05-30T23:21:00
Lausanne,RE,,,2022-05-30T04:51:00
Lausanne,RE,2022-05-30T09:49:00,2022-05-30T09:47:46,2022-05-30T09:51:00
Lausanne,RE,2022-05-30T11:08:00,2022-05-30T11:09:48,2022-05-30T11:11:00
Lausanne,RE,2022-05-30T21:49:00,2022-05-30T21:48:33,2022-05-30T21:51:00
Basel SBB,IR36,2022-05-30T22:24:00,2022-05-30T22:23:27,
Bern,IR16,2022-05-30T07:24:00,2022-05-30T07:26:24,
Bern,IR16,2022-05-30T11:24:00,2022-05-30T11:23:26,
Bern,IR16,2022-05-30T12:24:00,2022-05-30T12:24:58,
Bern,IR16,,,2022-05-30T15:33:00
Bern,IR16,2022-05-30T21:24:00,2022-05-30T21:23:55,
Basel SBB,IR37,2022-05-30T09:13:00,,
Basel SBB,IR37,,,2022-05-30T06:43:00
Basel SBB,IR37,2022-05-30T12:13:00,,
Basel SBB,IR37,2022-05-30T14:13:00,,
Basel SBB,IR37,2022-05-30T17:13:00,,
Basel SBB,IR37,,,2022-05-30T14:43:00
Basel SBB,IR37,2022-05-30T19:13:00,,
Basel SBB,IR37,,,2022-05-30T16:43:00
Basel SBB,IR37,2022-05-30T21:13:00,,
Basel SBB,TGV,2022-05-30T21:26:00,2022-05-30T21:32:21,2022-05-30T21:33:00
Bern,IC61,,,2022-05-30T06:04:00
Basel SBB,TER,,,2022-05-30T06:08:00
Basel SBB,TER,2022-05-30T05:20:00,2022-05-30T05:21:05,
Basel SBB,TER,2022-05-30T06:20:00,2022-05-30T06:20:20,
Basel SBB,TER,,,2022-05-30T07:08:00
Basel SBB,TER,,,2022-05-30T07:38:00
Basel SBB,TER,2022-05-30T07:50:00,2022-05-30T07:50:36,
Basel SBB,TER,2022-05-30T08:20:00,2022-05-30T08:24:47,
Basel SBB,TER,,,2022-05-30T10:39:00
Basel SBB,TER,,,2022-05-30T12:39:00
Basel SBB,TER,,2022-05-30T11:50:43,
Bern,IR35,2022-05-30T07:21:00,2022-05-30T07:24:56,
Bern,IR35,,,2022-05-30T05:38:00
Bern,IR35,2022-05-30T09:21:00,2022-05-30T09:20:24,
Lausanne,S22,2022-05-30T08:35:00,2022-05-30T08:33:50,
Lausanne,S22,2022-05-30T18:35:00,2022-05-30T18:35:03,
Lausanne,S22,,,2022-05-30T18:40:00
Lausanne,S2,2022-05-31T00:58:00,2022-05-31T01:02:56,
Lausanne,S1,,,2022-05-30T04:54:00
Lausanne,S1,,,2022-05-30T08:54:00
Lausanne,S1,2022-05-30T10:05:00,2022-05-30T10:04:02,
Lausanne,S1,2022-05-30T12:05:00,2022-05-30T12:10:39,
Lausanne,S1,,,2022-05-30T12:54:00
Lausanne,S1,2022-05-30T16:05:00,2022-05-30T16:06:35,
Lausanne,S1,,,2022-05-30T15:54:00
Lausanne,S1,2022-05-30T21:05:00,2022-05-30T21:06:43,
Lausanne,S1,,,2022-05-30T21:54:00
Lausanne,S1,,,2022-05-30T23:54:00
Bern,IR35,,,2022-05-30T07:38:00
Bern,IR35,2022-05-30T17:21:00,2022-05-30T17:20:34,
Bern,IR,2022-05-30T22:26:00,2022-05-30T22:26:17,
Lausanne,S1,2022-05-30T06:05:00,2022-05-30T06:04:24,
Lausanne,S1,2022-05-30T08:05:00,2022-05-30T08:04:22,
Lausanne,S1,2022-05-30T11:05:00,2022-05-30T11:07:07,
Lausanne,S1,,,2022-05-30T14:54:00
Lausanne,S1,2022-05-30T18:05:00,2022-05-30T18:04:05,
Lausanne,S1,2022-05-30T19:05:00,2022-05-30T19:05:39,
Lausanne,S1,,,2022-05-30T18:54:00
Lausanne,S1,,,2022-05-30T19:54:00
Lausanne,S1,2022-05-30T23:05:00,2022-05-30T23:03:54,
Lausanne,S2,,,2022-05-30T05:01:00
Basel SBB,TER,2022-05-30T16:20:00,2022-05-30T16:20:29,
Basel SBB,TER,2022-05-30T16:50:00,2022-05-30T16:51:33,
Basel SBB,TER,2022-05-30T17:50:00,2022-05-30T17:51:03,
Basel SBB,TER,2022-05-30T11:20:00,2022-05-30T11:20:21,
Basel SBB,TER,,,2022-05-30T05:21:00
Basel SBB,TER,2022-05-30T07:38:00,2022-05-30T07:37:42,
Basel SBB,TER,2022-05-30T09:08:00,2022-05-30T09:17:44,
Basel SBB,TER,,,2022-05-30T07:51:00
Basel SBB,TER,,,2022-05-30T11:21:00
Basel SBB,TER,2022-05-30T16:08:00,2022-05-30T16:09:37,
Basel SBB,TER,,2022-05-30T17:08:23,
Basel SBB,TER,2022-05-30T17:38:00,2022-05-30T17:40:13,
Basel SBB,TER,,,2022-05-30T15:21:00
Basel SBB,TER,2022-05-30T19:08:00,2022-05-30T19:08:41,
Basel SBB,TER,,,2022-05-30T17:51:00
Basel SBB,TER,,,2022-05-30T18:21:00
Basel SBB,TER,,,2022-05-30T19:21:00
Basel SBB,TER,2022-05-30T22:38:00,2022-05-30T22:37:41,
Basel SBB,TER,,,2022-05-30T19:51:00
Basel SBB,TER,,,2022-05-30T12:51:00
Basel SBB,TER,,,2022-05-30T16:21:00
Bern,IC61,2022-05-30T11:56:00,,2022-05-30T12:04:00
Bern,IC61,2022-05-30T13:56:00,,2022-05-30T14:04:00
Basel SBB,IC61,,,2022-05-30T14:56:00
Basel SBB,IC61,,,2022-05-30T15:56:00
Lausanne,TGV,2022-05-30T20:14:00,,
Basel SBB,IC61,2022-05-30T18:01:00,,
Bern,IC61,2022-05-30T17:56:00,,2022-05-30T18:04:00
Basel SBB,IC61,2022-05-30T19:01:00,,
Basel SBB,IC61,2022-05-30T20:01:00,,
Bern,IC61,2022-05-30T19:52:00,,2022-05-30T20:04:00
Basel SBB,IC61,,,2022-05-30T20:56:00
