,Survived,Pclass,Sex,Age,Fare
0,0,3,male,34.5,7.8292
1,1,3,female,47.0,7.0
2,0,2,male,62.0,9.6875
3,0,3,male,27.0,8.6625
4,1,3,female,22.0,12.2875
5,0,3,male,14.0,9.225
6,1,3,female,30.0,7.6292
7,0,2,male,26.0,29.0
8,1,3,female,18.0,7.2292
9,0,3,male,21.0,24.15
10,0,3,male,,7.8958
11,0,1,male,46.0,26.0
12,1,1,female,23.0,82.2667
13,0,2,male,63.0,26.0
14,1,1,female,47.0,61.175
15,1,2,female,24.0,27.7208
16,0,2,male,35.0,12.35
17,0,3,male,21.0,7.225
18,1,3,female,27.0,7.925
19,1,3,female,45.0,7.225
20,0,1,male,55.0,59.4
21,0,3,male,9.0,3.1708
22,1,1,female,,31.6833
23,0,1,male,21.0,61.3792
24,1,1,female,48.0,262.375
25,0,3,male,50.0,14.5
26,1,1,female,22.0,61.9792
27,0,3,male,22.5,7.225
28,0,1,male,41.0,30.5
29,0,3,male,,21.6792
30,0,2,male,50.0,26.0
31,0,2,male,24.0,31.5
32,1,3,female,33.0,20.575
33,1,3,female,,23.45
34,0,1,male,30.0,57.75
35,0,3,male,18.5,7.2292
36,1,3,female,,8.05
37,1,3,female,21.0,8.6625
38,0,3,male,25.0,9.5
39,0,3,male,,56.4958
40,0,3,male,39.0,13.4167
41,0,1,male,,26.55
42,0,3,male,41.0,7.85
43,1,2,female,30.0,13.0
44,1,1,female,45.0,52.5542
45,0,3,male,25.0,7.925
46,0,1,male,45.0,29.7
47,0,3,male,,7.75
48,1,1,female,60.0,76.2917
49,1,3,female,36.0,15.9
50,0,1,male,24.0,60.0
51,0,2,male,27.0,15.0333
52,1,2,female,20.0,23.0
53,1,1,female,28.0,263.0
54,0,2,male,,15.5792
55,0,3,male,10.0,29.125
56,0,3,male,35.0,7.8958
57,0,3,male,25.0,7.65
58,0,3,male,,16.1
59,1,1,female,36.0,262.375
60,0,3,male,17.0,7.8958
61,0,2,male,32.0,13.5
62,0,3,male,18.0,7.75
63,1,3,female,22.0,7.725
64,0,1,male,13.0,262.375
65,1,2,female,,21.0
66,1,3,female,18.0,7.8792
67,0,1,male,47.0,42.4
68,0,1,male,31.0,28.5375
69,1,1,female,60.0,263.0
70,1,3,female,24.0,7.75
71,0,3,male,21.0,7.8958
72,1,3,female,29.0,7.925
73,0,1,male,28.5,27.7208
74,1,1,female,35.0,211.5
75,0,1,male,32.5,211.5
76,0,3,male,,8.05
77,1,1,female,55.0,25.7
78,0,2,male,30.0,13.0
79,1,3,female,24.0,7.75
80,0,3,male,6.0,15.2458
81,0,1,male,67.0,221.7792
82,0,1,male,49.0,26.0
83,0,3,male,,7.8958
84,0,2,male,,10.7083
85,0,3,male,,14.4542
86,1,3,female,27.0,7.8792
87,1,3,female,18.0,8.05
88,1,3,female,,7.75
89,0,2,male,2.0,23.0
90,1,3,female,22.0,13.9
91,0,3,male,,7.775
92,1,1,female,27.0,52.0
93,0,3,male,,8.05
94,0,1,male,25.0,26.0
95,0,3,male,25.0,7.7958
96,1,1,female,76.0,78.85
97,0,3,male,29.0,7.925
98,1,3,female,20.0,7.8542
99,0,3,male,33.0,8.05
100,1,1,female,43.0,55.4417
101,0,2,male,27.0,26.0
102,0,3,male,,7.75
103,0,3,male,26.0,7.775
104,1,3,female,16.0,8.5167
105,0,3,male,28.0,22.525
106,0,3,male,21.0,7.8208
107,0,3,male,,7.75
108,0,3,male,,8.7125
109,0,2,male,18.5,13.0
110,0,2,male,41.0,15.0458
111,1,3,female,,7.7792
112,1,1,female,36.0,31.6792
113,1,3,female,18.5,7.2833
114,1,1,female,63.0,221.7792
115,0,3,male,18.0,14.4542
116,0,3,male,,6.4375
117,1,3,female,1.0,16.7
118,0,1,male,36.0,75.2417
119,1,2,female,29.0,26.0
120,1,2,female,12.0,15.75
121,0,3,male,,7.75
122,1,1,female,35.0,57.75
123,0,3,male,28.0,7.25
124,0,3,male,,7.75
125,1,3,female,17.0,16.1
126,0,3,male,22.0,7.7958
127,1,3,female,,23.25
128,0,2,male,42.0,13.0
129,0,3,male,24.0,8.05
130,0,3,male,32.0,8.05
131,0,1,male,53.0,28.5
132,1,3,female,,25.4667
133,0,3,male,,6.4375
134,0,3,male,43.0,7.8958
135,0,3,male,24.0,7.8542
136,0,3,male,26.5,7.225
137,0,2,male,26.0,13.0
138,1,3,female,23.0,8.05
139,0,3,male,40.0,46.9
140,1,3,female,10.0,46.9
141,1,1,female,33.0,151.55
142,0,1,male,61.0,262.375
143,0,2,male,28.0,26.0
144,0,1,male,42.0,26.55
145,0,3,male,31.0,18.0
146,0,1,male,,51.8625
147,0,3,male,22.0,8.05
148,0,1,male,,26.55
149,0,2,male,30.0,26.0
150,1,1,female,23.0,83.1583
151,0,3,male,,7.8958
152,0,3,male,60.5,
153,1,3,female,36.0,12.1833
154,0,3,male,13.0,31.3875
155,0,3,male,24.0,7.55
156,1,1,female,29.0,221.7792
157,1,3,female,23.0,7.8542
158,0,1,male,42.0,26.55
159,1,3,female,26.0,13.775
160,1,3,female,,7.7333
161,0,3,male,7.0,15.2458
162,1,2,female,26.0,13.5
163,0,3,male,,7.0
164,0,2,male,41.0,13.0
165,1,3,female,26.0,22.025
166,0,1,male,48.0,50.4958
167,0,3,male,18.0,34.375
168,1,1,female,,27.7208
169,1,3,female,22.0,8.9625
170,0,3,male,,7.55
171,0,3,male,27.0,7.225
172,0,3,male,23.0,13.9
173,0,3,male,,7.2292
174,0,3,male,40.0,31.3875
175,1,2,female,15.0,39.0
176,1,2,female,20.0,36.75
177,0,1,male,54.0,55.4417
178,1,2,female,36.0,39.0
179,1,1,female,64.0,83.1583
180,0,2,male,30.0,13.0
181,0,1,male,37.0,83.1583
182,1,1,female,18.0,53.1
183,0,3,male,,7.75
184,1,1,female,27.0,247.5208
185,0,2,male,40.0,16.0
186,1,2,female,21.0,21.0
187,0,3,male,17.0,8.05
188,1,3,female,,69.55
189,0,2,male,40.0,13.0
190,0,2,male,34.0,26.0
191,0,1,male,,26.0
192,0,3,male,11.5,14.5
193,0,2,male,61.0,12.35
194,0,2,male,8.0,32.5
195,0,3,male,33.0,7.8542
196,0,1,male,6.0,134.5
197,1,3,female,18.0,7.775
198,0,2,male,23.0,10.5
199,1,3,female,,8.1125
200,1,3,female,,15.5
201,0,3,male,0.33,14.4
202,0,1,male,47.0,227.525
203,1,2,female,8.0,26.0
204,0,2,male,25.0,10.5
205,0,1,male,,25.7417
206,1,3,female,35.0,7.75
207,0,2,male,24.0,10.5
208,1,1,female,33.0,27.7208
209,0,3,male,25.0,7.8958
210,0,3,male,32.0,22.525
211,0,3,male,,7.05
212,0,2,male,17.0,73.5
213,1,2,female,60.0,26.0
214,1,3,female,38.0,7.775
215,0,1,male,42.0,42.5
216,1,3,female,,7.8792
217,0,1,male,57.0,164.8667
218,1,1,female,50.0,211.5
219,0,3,male,,8.05
220,1,2,female,30.0,13.8583
221,0,3,male,21.0,8.05
222,1,2,female,22.0,10.5
223,0,3,male,21.0,7.7958
224,1,1,female,53.0,27.4458
225,1,3,female,,15.2458
226,0,3,male,23.0,7.7958
227,1,3,female,,7.75
228,0,3,male,40.5,15.1
229,0,2,male,36.0,13.0
230,0,2,male,14.0,65.0
231,1,1,female,21.0,26.55
232,0,3,male,21.0,6.4958
233,0,3,male,,7.8792
234,0,1,male,39.0,71.2833
235,0,3,male,20.0,7.8542
236,0,1,male,64.0,75.25
237,0,3,male,20.0,7.225
238,1,2,female,18.0,13.0
239,1,1,female,48.0,106.425
240,1,1,female,55.0,27.7208
241,1,2,female,45.0,30.0
242,0,1,male,45.0,134.5
243,0,3,male,,7.8875
244,0,3,male,,23.45
245,0,1,male,41.0,51.8625
246,1,2,female,22.0,21.0
247,0,2,male,42.0,32.5
248,1,2,female,29.0,26.0
249,1,3,female,,14.4542
250,1,2,female,0.92,27.75
251,0,3,male,20.0,7.925
252,0,1,male,27.0,136.7792
253,0,3,male,24.0,9.325
254,0,3,male,32.5,9.5
255,0,3,male,,7.55
256,0,3,male,,7.75
257,0,3,male,28.0,8.05
258,1,2,female,19.0,13.0
259,0,3,male,21.0,7.775
260,0,3,male,36.5,17.4
261,0,3,male,21.0,7.8542
262,1,2,female,29.0,23.0
263,1,3,female,1.0,12.1833
264,0,2,male,30.0,12.7375
265,0,3,male,,7.8958
266,0,1,male,,0.0
267,0,3,male,,7.55
268,1,3,female,,8.05
269,0,3,male,17.0,8.6625
270,0,1,male,46.0,75.2417
271,0,3,male,,7.75
272,1,1,female,26.0,136.7792
273,1,3,female,,15.5
274,0,3,male,,7.225
275,1,2,female,20.0,26.0
276,0,2,male,28.0,10.5
277,0,2,male,40.0,26.0
278,0,2,male,30.0,21.0
279,0,2,male,22.0,10.5
280,1,3,female,23.0,8.6625
281,0,3,male,0.75,13.775
282,1,3,female,,7.75
283,1,3,female,9.0,15.2458
284,1,3,female,2.0,20.2125
285,0,3,male,36.0,7.25
286,0,3,male,,7.25
287,0,1,male,24.0,82.2667
288,0,3,male,,7.2292
289,0,3,male,,8.05
290,0,1,male,,39.6
291,1,3,female,30.0,6.95
292,0,3,male,,7.2292
293,0,1,male,53.0,81.8583
294,0,3,male,36.0,9.5
295,0,3,male,26.0,7.8958
296,1,2,female,1.0,41.5792
297,0,3,male,,21.6792
298,0,1,male,30.0,45.5
299,0,3,male,29.0,7.8542
300,0,3,male,32.0,7.775
301,0,2,male,,15.0458
302,0,2,male,43.0,21.0
303,0,3,male,24.0,8.6625
304,1,3,female,,7.75
305,1,1,female,64.0,26.55
306,0,1,male,30.0,151.55
307,0,3,male,0.83,9.35
308,0,1,male,55.0,93.5
309,1,3,female,45.0,14.1083
310,0,3,male,18.0,8.6625
311,0,3,male,22.0,7.225
312,0,3,male,,7.575
313,1,3,female,37.0,7.75
314,1,1,female,55.0,135.6333
315,1,3,female,17.0,7.7333
316,0,1,male,57.0,146.5208
317,0,2,male,19.0,10.5
318,0,3,male,27.0,7.8542
319,0,2,male,22.0,31.5
320,0,3,male,26.0,7.775
321,0,3,male,25.0,7.2292
322,0,2,male,26.0,13.0
323,0,1,male,33.0,26.55
324,1,1,female,39.0,211.3375
325,0,3,male,23.0,7.05
326,1,2,female,12.0,39.0
327,0,1,male,46.0,79.2
328,0,2,male,29.0,26.0
329,0,2,male,21.0,13.0
330,1,2,female,48.0,36.75
331,0,1,male,39.0,29.7
332,0,3,male,,7.225
333,1,3,female,19.0,15.7417
334,0,3,male,27.0,7.8958
335,0,1,male,30.0,26.0
336,0,2,male,32.0,13.0
337,0,3,male,39.0,7.2292
338,0,2,male,25.0,31.5
339,0,3,male,,7.2292
340,0,2,male,18.0,10.5
341,0,3,male,32.0,7.5792
342,0,3,male,,69.55
343,1,1,female,58.0,512.3292
344,0,3,male,,14.5
345,1,3,female,16.0,7.65
346,0,2,male,26.0,13.0
347,1,3,female,38.0,7.2292
348,0,2,male,24.0,13.5
349,1,2,female,31.0,21.0
350,1,1,female,45.0,63.3583
351,0,2,male,25.0,10.5
352,0,2,male,18.0,73.5
353,0,2,male,49.0,65.0
354,1,3,female,0.17,20.575
355,0,1,male,50.0,26.0
356,1,1,female,59.0,51.4792
357,0,3,male,,7.8792
358,0,3,male,,7.75
359,1,3,female,30.0,15.55
360,0,3,male,14.5,69.55
361,1,2,female,24.0,37.0042
362,1,2,female,31.0,21.0
363,0,3,male,27.0,8.6625
364,1,1,female,25.0,55.4417
365,1,3,female,,69.55
366,0,3,male,,14.4583
367,1,3,female,22.0,39.6875
368,1,1,female,45.0,59.4
369,0,2,male,29.0,13.8583
370,0,2,male,21.0,11.5
371,1,1,female,31.0,134.5
372,0,1,male,49.0,0.0
373,0,2,male,44.0,13.0
374,1,1,female,54.0,81.8583
375,1,1,female,45.0,262.375
376,1,3,female,22.0,8.6625
377,0,2,male,21.0,11.5
378,0,1,male,55.0,50.0
379,0,3,male,5.0,31.3875
380,0,3,male,,7.75
381,0,3,male,26.0,7.8792
382,1,3,female,,14.5
383,1,3,female,19.0,16.1
384,0,2,male,,12.875
385,1,2,female,24.0,65.0
386,0,3,male,24.0,7.775
387,0,2,male,57.0,13.0
388,0,3,male,21.0,7.75
389,0,3,male,6.0,21.075
390,0,1,male,23.0,93.5
391,1,1,female,51.0,39.4
392,0,3,male,13.0,20.25
393,0,2,male,47.0,10.5
394,0,3,male,29.0,22.025
395,1,1,female,18.0,60.0
396,0,3,male,24.0,7.25
397,1,1,female,48.0,79.2
398,0,3,male,22.0,7.775
399,0,3,male,31.0,7.7333
400,1,1,female,30.0,164.8667
401,0,2,male,38.0,21.0
402,1,1,female,22.0,59.4
403,0,1,male,17.0,47.1
404,0,1,male,43.0,27.7208
405,0,2,male,20.0,13.8625
406,0,2,male,23.0,10.5
407,0,1,male,50.0,211.5
408,1,3,female,,7.7208
409,1,3,female,3.0,13.775
410,1,3,female,,7.75
411,1,1,female,37.0,90.0
412,1,3,female,28.0,7.775
413,0,3,male,,8.05
414,1,1,female,39.0,108.9
415,0,3,male,38.5,7.25
416,0,3,male,,8.05
417,0,3,male,,22.3583
